tempo_segundos,gz_original,gz_filtrado
0.5960156917572021,7.26318359375,2.1275111607142856
0.7034425735473633,14.46533203125,4.124232700892857
0.8114523887634277,26.123046875,7.611955915178571
0.9018571376800537,-16.05224609375,5.109514508928571
1.0051441192626953,-185.72998046875,-21.536690848214285
1.11055588722229,-249.81689453125,-57.45152064732143
1.2115702629089355,-167.236328125,-81.56912667410714
1.3061370849609375,-86.73095703125,-94.99686104910714
1.4866611957550049,-62.3779296875,-105.97446986607143
1.544917345046997,-21.3623046875,-112.75809151785714
1.6615474224090576,-18.73779296875,-113.14174107142857
1.7264738082885742,-2.197265625,-86.92278180803571
1.8434994220733643,2.13623046875,-50.929478236607146
1.9568250179290771,64.453125,-17.830984933035715
2.0271172523498535,211.36474609375,24.754115513392858
2.144676923751831,334.41162109375,81.43833705357143
2.2592899799346924,283.26416015625,124.95640345982143
2.3270015716552734,253.35693359375,163.82707868303572
2.5019547939300537,200.01220703125,192.71414620535714
2.5602641105651855,157.53173828125,214.91350446428572
2.626380681991577,127.50244140625,223.92054966517858
2.7452821731567383,45.2880859375,200.1953125
2.857451915740967,18.06640625,155.00313895089286
2.9861483573913574,9.033203125,115.82728794642857
3.1040234565734863,-1.953125,79.35442243303571
3.22214412689209,-26.123046875,47.049386160714285
3.2867355346679688,-136.23046875,5.083356584821429
3.3454575538635254,-197.20458984375,-41.30336216517857
3.459749698638916,-223.0224609375,-79.63344029017857
3.523528575897217,-229.4921875,-114.99895368303571
3.638725519180298,-173.7060546875,-141.10456194196428
3.7662575244903564,-79.16259765625,-152.13448660714286
3.8790526390075684,-37.53662109375,-153.76499720982142
3.945099353790283,-2.197265625,-134.61739676339286
4.06595516204834,0.79345703125,-106.33196149553571
4.184441089630127,-0.8544921875,-74.59368024553571
4.24411678314209,-19.287109375,-44.564383370535715
4.365979194641113,17.63916015625,-17.229352678571427
4.477165699005127,14.58740234375,-3.8364955357142856
4.5441319942474365,1.40380859375,1.7264229910714286
4.659902095794678,5.37109375,2.8076171875
4.786834001541138,-100.28076171875,-11.631556919642858
4.846240282058716,-30.8837890625,-15.921456473214286
4.960648059844971,50.72021484375,-5.92041015625
5.081297159194946,-193.42041015625,-36.07177734375
5.147253513336182,117.37060546875,-21.388462611607142
5.26542854309082,-250.1220703125,-57.320731026785715
5.385677337646484,66.40625,-48.60142299107143
5.443889141082764,-162.41455078125,-57.47767857142857
5.561922550201416,18.24951171875,-50.45863560267857
5.6844282150268555,-54.931640625,-65.5517578125
5.808819055557251,-137.939453125,-57.625906808035715
5.862581014633179,103.759765625,-59.5703125
5.987226486206055,-168.9453125,-47.9736328125
6.106638431549072,109.80224609375,-41.774204799107146
6.166214942932129,-79.833984375,-29.976981026785715
6.285638332366943,-2.8076171875,-32.985142299107146
6.4053449630737305,216.49169921875,5.789620535714286
6.4629247188568115,-98.32763671875,11.448451450892858
6.583088159561157,225.09765625,28.782435825892858
6.7063562870025635,-40.0390625,47.19761439732143
6.8256213665008545,92.22412109375,44.686453683035715
6.884023904800415,132.9345703125,75.08196149553571
7.006965637207031,-132.99560546875,56.483677455357146
7.0668721199035645,240.8447265625,59.962681361607146
7.184725522994995,-91.6748046875,60.9130859375
7.3046674728393555,113.83056640625,45.017787388392854
7.366076946258545,-17.9443359375,48.17417689732143
7.485083103179932,-32.8369140625,30.308314732142858
